,start,end,street_name,delay8pm,delay5pm
5521,42434912,42430485,2ndAvenue,8.569157875272927,12.221921947667795
5522,42430482,42430485,East102ndStreet,36.59615489059969,45.32996391003461
5523,42434904,42434905,East103rdStreet,40.33966081560283,43.37132928571428
5524,42430474,42434905,MadisonAvenue,8.809898948343353,10.86636658398701
5525,42434904,42425127,5thAvenue,7.2463325919522195,13.751448135199562
5526,42430474,42425127,East102ndStreet,25.10256358681023,36.06104895245036
5527,42434832,42436971,FrontStreet,4.124827963712992,5.054485738487278
5528,42434895,42430479,LexingtonAvenue,8.150522196382425,12.069531150121973
5529,42430482,42430479,East102ndStreet,22.15929542459736,27.3656291462218
5530,42434354,42431453,IrvingPlace,24.2521437041972,18.62370553365887
5531,42434352,42431453,IrvingPlace,24.781823073970166,21.591011080449714
5532,42431459,42431453,East15thStreet,35.62558261282364,34.58621391063097
5533,42434722,42434670,MargaretCorbinDrive,11.862346499999996,24.463582073170727
5534,42434259,42432963,West145thStreet,36.77001312910284,40.11940838709679
5535,42434255,42432963,West145thStreet,24.58991931058496,29.78407234591193
5536,42432961,42432963,SaintNicholasAvenue,61.01904161931826,81.29808406998157
5537,42432966,42432963,SaintNicholasAvenue,14.426354119127526,18.960147360097327
5538,42434837,42430126,WestBroadway,14.553470899797926,17.86234101786927
5539,42430122,42430126,6thAvenue,11.605269268952966,17.782631974265712
5540,42434670,42434611,MargaretCorbinDrive,10.38069358024691,17.63132246376811
5541,42434800,42429874,5thAvenue,14.37838672347478,13.218564588715589
5542,42428216,42429874,West26thStreet,25.367843451495773,27.310396068203982
5543,42434800,42428220,West27thStreet,33.39237192082393,37.63609336496665
5544,42428223,42428220,Broadway,26.149538031623106,28.743203811475414
5545,42434131,42450089,3rdAvenue,10.58968322023984,19.46598458791207
5546,42434148,42449023,AvenueA,21.71941612162706,18.48277801523604
5547,42430914,42449023,AvenueA,19.587813307863385,17.373909140680553
5548,42434611,42434589,MargaretCorbinDrive,16.940174520547945,26.43859151515152
5549,42434140,42434196,CooperSquare,22.56036837980927,21.111537097085048
5550,42434197,42434196,East7thStreet,18.414748142830017,15.996589539354833
5551,42434346,42427764,GrandArmyPlaza,20.2426882875831,34.048381497365035
5552,42430390,42427764,West58thStreet,50.999905141650245,76.71987603966026
